kod_obec,nazev_obec,status,kod_obec_povereny_ob_urad,nazev_obec_povereny_ob_urad,kod_orp,nazev_orp,kod_okres,nazev_okres,kod_kraj,nazev_kraj,kod_region,nazev_region
554979,Abertamy,M,41061,Ostrov,4106,Ostrov,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,CZ04,Severozápad
531367,Adamov,O,21041,Čáslav,2104,Čáslav,CZ0205,Kutná Hora,CZ020,Středočeský kraj,CZ02,Střední Čechy
535826,Adamov,O,31021,České Budějovice,3102,České Budějovice,CZ0311,České Budějovice,CZ031,Jihočeský kraj,CZ03,Jihozápad
581291,Adamov,M,62011,Adamov,6201,Blansko,CZ0641,Blansko,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
547786,Adršpach,O,52012,Teplice nad Metují,5201,Broumov,CZ0523,Náchod,CZ052,Královéhradecký kraj,CZ05,Severovýchod
547981,Albrechtice,O,53061,Lanškroun,5306,Lanškroun,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,CZ05,Severovýchod
598925,Albrechtice,O,81081,Havířov,8108,Havířov,CZ0803,Karviná,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
576077,Albrechtice nad Orlicí,O,52082,Týniště nad Orlicí,5208,Kostelec nad Orlicí,CZ0524,Rychnov nad Kněžnou,CZ052,Královéhradecký kraj,CZ05,Severovýchod
549258,Albrechtice nad Vltavou,O,31083,Písek,3108,Písek,CZ0314,Písek,CZ031,Jihočeský kraj,CZ03,Jihozápad
563528,Albrechtice v Jizerských horách,O,51081,Tanvald,5108,Tanvald,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,CZ05,Severovýchod
568741,Albrechtičky,O,81012,Studénka,8101,Bílovec,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
506761,Alojzov,O,71082,Prostějov,7108,Prostějov,CZ0713,Prostějov,CZ071,Olomoucký kraj,CZ07,Střední Morava
538001,Andělská Hora,O,41031,Karlovy Vary,4103,Karlovy Vary,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,CZ04,Severozápad
551929,Andělská Hora,M,81031,Bruntál,8103,Bruntál,CZ0801,Bruntál,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
573426,Anenská Studánka,O,53061,Lanškroun,5306,Lanškroun,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,CZ05,Severovýchod
